"Suburb","Address","Rooms","Distance","Lattitude","Longtitude","SellerG","Date","Postcode","Bedroom2","Bathroom","YearBuilt","CouncilArea","CarImp","LandsizeImp","sqrt_distance_std","log_landsize_std","lattitude_std","longtitude_std","rooms_cat","year_built_cat","car_cat","Regionname","Type","Method","bath_cat","bed_cat","sell_rate_cat","Price","log_price","price_label","price_label_high"
"Airport West","36 Roberts Rd",4,13.5,-37.7259,144.8792,"Considine","6/08/2016",3042,3,1,NA,"Moonee Valley",2,597,0.692891220952129,0.435324115656269,1.04996759035671,-1.12026641866118,"Grandes","Desconocido","Muchas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",785000,5.89486965674525,FALSE,FALSE
"Airport West","11 Harrington Rd",6,13.5,-37.7239,144.8735,"Barry","7/05/2016",3042,6,3,1980,"Moonee Valley",2,976,0.692891220952129,1.09201286369557,1.07507433816864,-1.17513465243282,"Grandes","Moderna","Muchas_plazas","Western_Metropolitan","h","SP","Muchos_baños","Muchos_dormitorios","Más_populares",725000,5.86033800657099,FALSE,FALSE
"Airport West","2/252 Parer Rd",2,13.5,-37.7216,144.871,"Barry","7/05/2016",3042,2,1,2015,"Moonee Valley",1,110,0.692891220952129,-1.82438030872552,1.10394709815229,-1.19919966724497,"Pequeñas","Moderna","Pocas_plazas","Western_Metropolitan","t","S","Pocos_baños","Pocos_dormitorios","Más_populares",450000,5.65321251377534,FALSE,FALSE
"Airport West","3/19 Hart St",2,13.5,-37.7298,144.8883,"Barry","7/11/2016",3042,2,1,2013,"Moonee Valley",1,141,0.692891220952129,-1.49268694745391,1.00100943212358,-1.032669764745,"Pequeñas","Moderna","Pocas_plazas","Western_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Más_populares",515000,5.71180722904119,FALSE,FALSE
"Airport West","2/62 Clydesdale Rd",2,13.5,-37.7234,144.8792,"Nelson","10/09/2016",3042,2,1,2012,"Moonee Valley",1,120,0.692891220952129,-1.70813594201539,1.08135102512164,-1.12026641866118,"Pequeñas","Moderna","Pocas_plazas","Western_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Más_populares",530000,5.72427586960079,FALSE,FALSE
"Airport West","3 Deidre Ct",3,13.5,-37.7249,144.8728,"Rendina","10/09/2016",3042,3,1,1975,"Moonee Valley",6,1063,0.692891220952129,1.20608817362578,1.06252096426272,-1.18187285658018,"Medianas","Moderna","Muchas_plazas","Western_Metropolitan","h","PI","Pocos_baños","Pocos_dormitorios","Más_populares",895000,5.95182303531591,FALSE,FALSE
"Airport West","13 Etzel St",3,13.5,-37.7217,144.8783,"Nelson","10/12/2016",3042,3,1,1950,"Moonee Valley",1,161,0.692891220952129,-1.31547824806689,1.10269176076175,-1.12892982399357,"Medianas","Antigua","Pocas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",805000,5.90579588036787,FALSE,FALSE
"Airport West","1/43 Cameron St",3,13.5,-37.7302,144.8855,"Nelson","11/02/2017",3042,3,1,1993,"Moonee Valley",1,265,0.692891220952129,-0.649731656829916,0.995988082561126,-1.05962258133442,"Medianas","Moderna","Pocas_plazas","Western_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Más_populares",752000,5.87621784059164,FALSE,FALSE
"Airport West","145a Victory Rd",2,13.5,-37.7177,144.8787,"Barry","13/08/2016",3042,2,1,NA,"Moonee Valley",1,192,0.692891220952129,-1.08022639589199,1.15290525638551,-1.1250794216235,"Pequeñas","Desconocido","Pocas_plazas","Western_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Más_populares",440000,5.64345267648619,FALSE,FALSE
"Airport West","241 Parer Rd",5,13.5,-37.7248,144.8699,"Propertyau","14/05/2016",3042,3,2,NA,"Moonee Valley",2,596,0.692891220952129,0.433084437945409,1.06377630165326,-1.2097882737624,"Grandes","Desconocido","Muchas_plazas","Western_Metropolitan","h","PI","Muchos_baños","Pocos_dormitorios","Más_populares",755000,5.87794695162919,FALSE,FALSE
"Airport West","180 Parer Rd",3,13.5,-37.7186,144.876,"Barry","16/04/2016",3042,3,1,1960,"Moonee Valley",2,971,0.692891220952129,1.08515117710849,1.14160721987014,-1.15106963762068,"Medianas","Antigua","Muchas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",830000,5.91907809237607,FALSE,FALSE
"Airport West","43 Hillside Gr",3,13.5,-37.7269,144.8742,"Barry","16/07/2016",3042,3,2,NA,"Moonee Valley",2,657,0.692891220952129,0.563265582845508,1.03741421645079,-1.16839644828547,"Medianas","Desconocido","Muchas_plazas","Western_Metropolitan","h","SP","Muchos_baños","Pocos_dormitorios","Más_populares",670000,5.82607480270083,FALSE,FALSE
"Airport West","174 Parer Rd",2,13.5,-37.7187,144.8765,"Barry","16/07/2016",3042,2,1,1975,"Moonee Valley",1,612,0.692891220952129,0.46847637365893,1.14035188247959,-1.14625663465836,"Pequeñas","Moderna","Pocas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",675000,5.82930377283103,FALSE,FALSE
"Airport West","138 Victory Rd",3,13.5,-37.7173,144.8796,"Nelson","16/07/2016",3042,3,2,1950,"Moonee Valley",5,612,0.692891220952129,0.46847637365893,1.15792660594788,-1.1164160162911,"Medianas","Antigua","Muchas_plazas","Western_Metropolitan","h","S","Muchos_baños","Pocos_dormitorios","Más_populares",1042000,6.01786771896351,TRUE,FALSE
"Airport West","75 King St",3,13.5,-37.7231,144.8835,"McDonald","17/09/2016",3042,3,1,NA,"Moonee Valley",1,775,0.692891220952129,0.783939363407901,1.08511703729337,-1.07887459318425,"Medianas","Desconocido","Pocas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",910000,5.95904139232109,TRUE,FALSE
"Airport West","6 Kittyhawk St",4,13.5,-37.7263,144.8679,"Brad","17/09/2016",3042,5,3,1980,"Moonee Valley",4,531,0.692891220952129,0.278808726921031,1.04494624079434,-1.22904028561222,"Grandes","Moderna","Muchas_plazas","Western_Metropolitan","h","S","Muchos_baños","Muchos_dormitorios","Más_populares",773000,5.88817949391832,FALSE,FALSE
"Airport West","478 Fullarton Rd",3,13.5,-37.7285,144.8694,"Barry","18/03/2017",3042,3,3,1980,"Moonee Valley",2,555,0.692891220952129,0.337866627229019,1.01732881820132,-1.21460127672472,"Medianas","Moderna","Muchas_plazas","Western_Metropolitan","h","PI","Muchos_baños","Pocos_dormitorios","Más_populares",810000,5.90848501887865,FALSE,FALSE
"Airport West","144 Marshall Rd",3,13.5,-37.7164,144.8792,"Rendina","18/03/2017",3042,3,2,1995,"Moonee Valley",2,422,0.692891220952129,-0.0281387534037528,1.16922464246325,-1.12026641866118,"Medianas","Moderna","Muchas_plazas","Western_Metropolitan","h","S","Muchos_baños","Pocos_dormitorios","Más_populares",715000,5.85430604180108,FALSE,FALSE
"Airport West","3/7 South Rd",3,13.5,-37.7231,144.8802,"Nelson","18/06/2016",3042,2,2,2010,"Moonee Valley",1,161,0.692891220952129,-1.31547824806689,1.08511703729337,-1.11064041273627,"Medianas","Moderna","Pocas_plazas","Western_Metropolitan","t","SP","Muchos_baños","Pocos_dormitorios","Más_populares",540000,5.73239375982297,FALSE,FALSE
"Airport West","37 North St",3,13.5,-37.72,144.8776,"Barry","19/11/2016",3042,3,2,1960,"Moonee Valley",1,293,0.692891220952129,-0.515543368953323,1.12403249640185,-1.13566802814093,"Medianas","Antigua","Pocas_plazas","Western_Metropolitan","t","SP","Muchos_baños","Pocos_dormitorios","Más_populares",825000,5.91645394854993,FALSE,FALSE
"Airport West","110 Halsey Rd",3,13.5,-37.7184,144.882,"Barry","22/08/2016",3042,3,1,NA,"Moonee Valley",1,623,0.692891220952129,0.492275613320124,1.14411789465132,-1.09331360207148,"Medianas","Desconocido","Pocas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",805000,5.90579588036787,FALSE,FALSE
"Airport West","2/13 North St",2,13.5,-37.7202,144.8797,"Nelson","22/08/2016",3042,2,1,NA,"Moonee Valley",1,141,0.692891220952129,-1.49268694745391,1.12152182162067,-1.11545341569859,"Pequeñas","Desconocido","Pocas_plazas","Western_Metropolitan","u","S","Pocos_baños","Pocos_dormitorios","Más_populares",510000,5.70757017609794,FALSE,FALSE
"Airport West","105a Victory Rd",3,13.5,-37.7181,144.8824,"Nelson","22/08/2016",3042,3,2,NA,"Moonee Valley",1,212,0.692891220952129,-0.947844176196896,1.14788390682314,-1.08946319970168,"Medianas","Desconocido","Pocas_plazas","Western_Metropolitan","h","S","Muchos_baños","Pocos_dormitorios","Más_populares",612000,5.78675142214556,FALSE,FALSE
"Airport West","117 Marshall Rd",3,13.5,-37.7169,144.8815,"Brad","23/04/2016",3042,3,1,NA,"Moonee Valley",2,612,0.692891220952129,0.46847637365893,1.16294795551024,-1.09812660503407,"Medianas","Desconocido","Muchas_plazas","Western_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",662000,5.8208579894397,FALSE,FALSE
"Airport West","34 Moorna Dr",4,13.5,-37.7263,144.869,"Nelson","24/09/2016",3042,4,3,NA,"Moonee Valley",2,532,0.692891220952129,0.281322307044716,1.04494624079434,-1.21845167909479,"Grandes","Desconocido","Muchas_plazas","Western_Metropolitan","h","S","Muchos_baños","Muchos_dormitorios","Más_populares",978000,5.9903388547876,TRUE,FALSE
"Airport West","49 Roberts Rd",4,13.5,-37.7261,144.8785,"Prof.","27/11/2016",3042,4,1,NA,"Moonee Valley",2,509,0.692891220952129,0.222278594328035,1.04745691557553,-1.12700462280854,"Grandes","Desconocido","Muchas_plazas","Western_Metropolitan","h","S","Pocos_baños","Muchos_dormitorios","Más_populares",765000,5.88366143515362,FALSE,FALSE
"Airport West","85 Roberts Rd",4,13.5,-37.7256,144.8739,"Harcourts","27/11/2016",3042,4,2,1975,"Moonee Valley",3,628,0.692891220952129,0.502954866361515,1.05373360252853,-1.17128425006302,"Grandes","Moderna","Muchas_plazas","Western_Metropolitan","h","S","Muchos_baños","Muchos_dormitorios","Más_populares",9e+05,5.95424250943933,FALSE,FALSE
"Albert Park","105 Kerferd Rd",2,3.3,-37.8459,144.9555,"hockingstuart","3/09/2016",3206,2,1,1900,"Port Phillip",0,120,-1.41579722890139,-1.70813594201539,-0.456437278356991,-0.38580216659386,"Pequeñas","Antigua","Pocas_plazas","Southern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",1275000,6.10551018476997,TRUE,FALSE
"Albert Park","85 Richardson St",2,3.3,-37.845,144.9538,"Thomson","3/09/2016",3206,2,1,NA,"Port Phillip",0,159,-1.41579722890139,-1.33217805853506,-0.445139241841619,-0.402166376666128,"Pequeñas","Desconocido","Pocas_plazas","Southern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",1455000,6.16286299332193,TRUE,TRUE
"Albert Park","112 Beaconsfield Pde",3,3.3,-37.8481,144.9499,"Buxton","4/03/2017",3206,3,2,1890,"Port Phillip",0,211,-1.41579722890139,-0.954160818894143,-0.484054700950101,-0.439707799772985,"Medianas","Antigua","Pocas_plazas","Southern_Metropolitan","h","PI","Muchos_baños","Pocos_dormitorios","Más_populares",2850000,6.45484486000851,TRUE,TRUE
"Albert Park","94 Graham St",3,3.3,-37.8452,144.9488,"Greg","4/03/2017",3206,3,2,1890,"Port Phillip",0,128,-1.41579722890139,-1.62191457904421,-0.447649916622803,-0.450296406290415,"Medianas","Antigua","Pocas_plazas","Southern_Metropolitan","h","S","Muchos_baños","Pocos_dormitorios","Más_populares",1850000,6.26717172840301,TRUE,TRUE
"Albert Park","396 Montague St",2,3.3,-37.8431,144.9565,"RT","4/03/2017",3206,2,1,1900,"Port Phillip",0,130,-1.41579722890139,-1.6012014906231,-0.421287831420329,-0.376176160668948,"Pequeñas","Antigua","Pocas_plazas","Southern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",1436000,6.15715443990628,TRUE,TRUE
"Albert Park","75 Graham St",2,3.3,-37.8444,144.9484,"Marshall","6/08/2016",3206,1,1,1900,"Port Phillip",0,147,-1.41579722890139,-1.43701358185753,-0.437607217498068,-0.45414680866049,"Pequeñas","Antigua","Pocas_plazas","Southern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",1110000,6.04532297878666,TRUE,FALSE
"Albert Park","4a Mills St",3,3.3,-37.8443,144.9598,"Marshall","7/11/2016",3206,3,2,NA,"Port Phillip",2,718,-1.41579722890139,0.681880187686288,-0.436351880107432,-0.344410341116929,"Medianas","Desconocido","Muchas_plazas","Southern_Metropolitan","t","VB","Muchos_baños","Pocos_dormitorios","Más_populares",1550000,6.19033169817029,TRUE,TRUE
"Albert Park","1 Moubray St",3,3.3,-37.8415,144.952,"Greg","7/11/2016",3206,3,2,1996,"Port Phillip",1,132,-1.41579722890139,-1.58080464494027,-0.40120243317086,-0.419493187330916,"Medianas","Moderna","Pocas_plazas","Southern_Metropolitan","h","VB","Muchos_baños","Pocos_dormitorios","Más_populares",1800000,6.25527250510331,TRUE,TRUE
"Albert Park","29 Faussett St",2,3.3,-37.8422,144.9554,"Greg","10/09/2016",3206,2,1,1900,"Port Phillip",1,199,-1.41579722890139,-1.03238613298635,-0.409989794904958,-0.386764767186379,"Pequeñas","Antigua","Pocas_plazas","Southern_Metropolitan","h","S","Pocos_baños","Pocos_dormitorios","Más_populares",2120000,6.32633586092875,TRUE,TRUE
